date,check_point0,check_point1,check_point2,check_point3,check_point4,check_point5,check_point6,check_point7,check_point8,check_point9,check_point10,check_point11,check_point12,check_point13,check_point14,check_point15,check_point16,check_point17,check_point18,check_point19,check_point20,month,day,heat_deg_days_c,total_snow_cm,spd_of_max_gust_kmPerhr
2015-02-17,250,0,43,29,117.0,270,63,14,55,,0,,92,251,91,34,,76,133,175,28,2,17,36.6,0.0,31.0
2015-02-18,261,0,19,30,169.0,322,71,18,45,,3,,126,255,105,24,,85,214,211,31,2,18,32.3,0.2,31.0
2015-02-19,224,0,12,8,69.0,236,57,11,38,,1,,59,215,86,0,,12,225,146,14,2,19,31.3,6.0,57.0
2015-02-20,137,0,10,0,65.0,181,34,6,30,,0,,17,91,30,3,,2,124,96,15,2,20,35.1,1.6,59.0
2015-02-21,59,0,10,0,43.0,89,17,2,2,,3,,23,55,4,4,,16,91,46,6,2,21,30.6,4.0,31.0
2015-02-22,94,0,0,0,52.0,84,8,0,0,,0,,23,63,22,3,,10,126,25,3,2,22,25.6,1.2,50.0
2015-02-23,170,0,0,0,112.0,238,42,0,0,,0,,57,221,51,29,,0,107,130,4,2,23,35.9,0.0,50.0
2015-02-24,241,0,7,0,105.0,247,56,3,0,,0,,62,255,75,40,,2,190,192,8,2,24,35.1,0.0,41.0
2015-02-25,252,0,20,1,136.0,301,62,2,0,,0,,84,61,104,40,,3,196,196,30,2,25,29.1,0.8,31.0
2015-02-26,250,0,4,12,130.0,261,62,4,0,,0,,78,25,90,39,,5,223,168,24,2,26,35.1,0.0,31.0
2015-02-27,248,0,5,1,162.0,249,65,14,0,,0,,86,149,99,43,,4,242,140,24,2,27,33.7,0.0,46.0
2015-02-28,119,0,2,0,80.0,119,44,3,0,,0,,69,144,19,10,,6,150,56,6,2,28,29.3,0.0,44.0
2015-03-01,96,0,0,1,65.0,110,22,7,0,,0,,56,144,27,8,,6,151,53,9,3,1,28.4,0.2,31.0
2015-03-02,222,0,4,16,133.0,318,51,9,1,,0,,102,228,111,41,,18,180,157,24,3,2,25.2,1.0,67.0
2015-03-03,274,0,6,29,61.0,350,61,12,0,,0,,106,244,111,47,,18,190,187,27,3,3,29.4,6.0,43.0
2015-03-04,247,0,31,0,,317,57,7,1,,0,,139,285,102,21,,5,137,143,24,3,4,20.0,0.0,61.0
2015-03-05,281,0,63,0,,343,68,14,29,,0,,120,328,117,52,,37,217,192,35,3,5,30.2,0.6,41.0
2015-03-06,192,0,6,2,,283,74,7,11,,0,,107,277,95,39,,56,308,148,48,3,6,31.8,0.0,50.0
2015-03-07,98,0,6,7,,140,29,5,8,,0,,101,184,33,14,,58,329,52,10,3,7,25.8,0.4,41.0
2015-03-08,83,0,1,3,,139,26,5,4,,0,,71,157,21,8,,64,161,47,5,3,8,21.4,0.8,37.0
2015-03-09,350,0,12,6,,475,74,12,18,,0,,220,442,143,62,,175,299,281,57,3,9,18.5,1.8,52.0
2015-03-10,516,0,15,61,,757,149,23,36,,0,,294,541,180,78,,309,469,433,68,3,10,16.1,0.0,33.0
2015-03-11,692,0,26,214,,888,230,22,69,,0,,489,718,237,102,,384,574,505,93,3,11,14.2,0.0,54.0
2015-03-12,481,0,31,219,,762,123,19,35,,2,,326,618,183,63,,330,485,449,66,3,12,22.6,0.0,57.0
2015-03-13,401,0,35,199,,610,156,27,44,,1,,328,535,168,63,,315,480,392,56,3,13,24.0,0.0,31.0
